Wave,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T237rm236tzfhztmy3qzwx5kgmi
Vou Deitar e Rolar (Quaquaraquaqua),Elis Regina,Show de Bola 1970,Tevgdojsoyflj4xow6a5t7vipsq
Happy Hour à Beira Mar,Wilson Simoninha,Live Session At Trama Studios,Tluii6od2vytos2y63d3ir3h4lu
Por causa de você,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tpvjmd4qmwvhh4pzgfg3p4wczme
Perfeição,João Bosco,"Não Vou Pro Céu, Mas Já Não Vivo No Chão",Tvf7wsd6mpfmmd7glb3sfd7tnke
Chovendo na roseira,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tdmug5ukqrtnzw64whleexiajzq
Lamento Sertanejo,Gilberto Gil,"Eu, Tu, Eles",Twnp7lla7uhxdbforetf2euz2de
Eu Só Quero um Xodó,Dominguinhos,Nas Costas Do Brasil,Tmgig6gbsdjbxpgm2fmomqvytje
Travessia (The Voice Brasil),Marcos Lessa,Travessia (The Voice Brasil),T244o4amvm3uqianjl4astezl7m
Me Espera (The Voice Brasil 2016),Lilian & Layane,Me Espera (The Voice Brasil 2016),Tawm4lsbuya4r3clicdymsnlqj4
O Morro Não Tem Vez,Marcos Lessa,Entre o Mar e o Sertão,Tkvjmfylroumf2i7av4mvaae2ea
Indeciso Coração,João Bosco,Na Onda Que Balança,Txznzunq7zt3gbllws4co5lcct4
Este seu olhar,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tcwh4qrsv25io6pv23qqzqpflja
Fotografia (Live),João Bosco,40 Anos Depois (Live),Ttzassawdtgqsmrybk3j6e5cekm
Caminhos cruzados,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tv6rguycbsxdizpg4auplhxe3mq
Arrastão (The Voice Brasil),Marcos Lessa,Arrastão (The Voice Brasil),T4ff3kfnrv5o4htwmoeswcavxvq
Fotografia,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tqsvjvtb5bbyex4v5vfhsumbmee
Só danço samba,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Thu35efwjvdkzq75gzzrjs5t6cq
Eu sei que vou te amar,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T5hcdkwedgmhfu7dkhzjtywaquq
Desafinado,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tajeuagj7l73fgoqos26bhnx5ve
Sabiá,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tcywcyfe6uyzbgrfkj5ytwktwzm
Dindi,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tn2maxzaraquofltvfzjua4ayue
Só tinha de ser com você,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T3dtckd5pppl46ngmojaivfwwhq
Falando de amor,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Thvlpx33sa3re37i2lzzajs5c7a
Correnteza,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tllkqs4tmh7gytuubavbg4ftijq
Estrada do sol,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T2fnx5gppeuvsvyvi54nnfqsphq
Chega de saudade (Bonus track),Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T7y6ttqydntjqtwzadnj5hp2edi
Encontros e despedidas,Maria Rita,Maria Rita,Tt4nzzivwe6hxn3vydvw76vmee4
Tá perdoado,Maria Rita,Samba Meu,Ti7kun4as4bnvbj3ivbm3bagzvy
O Que é o Amor,Maria Rita,Samba Meu,Tsi7ihncuaq6cfcztslirez4rpa
Meu Lugar,Arlindo Cruz,Fundamental - Arlindo Cruz,Tehgebewesbu4amkxfflfdwyrua
Preciso Aprender a Só Ser,Gilberto Gil,Gil Luminoso,Tkyi6ieg37h3z4htdsostyr4kuq
Retiros Espirituais,Gilberto Gil,Gil Luminoso,Tpofq4atpzcinll4gnm3kps3qwi
Super-Homem - a Canção,Gilberto Gil,Gil Luminoso,Tkrtovr5rud5dbuze3gjqx2dpya
O bêbado e a equilibrista,Elis Regina,Essa Mulher,Tkidd4yuz4y47prhicn2t2dc4qe
Rebento,Gilberto Gil,Gil Luminoso,Tpnufbmurl7lh3ehgmwxrxmfnvy
Canção da América (Versão 2),Elis Regina,"Grandes mestres da MPB, Vol. 1",Tn2upe2m2g7ht6oyv67pzjp72pa
Madalena,Elis Regina,"Elis, O Mito",Tp7vb7y3kqii2ucfotty52pq7uq
"Dois Pra Lá, Dois Pra Cá",Elis Regina,"Elis, O Mito",Te3nuhjaquvl4zcfhj6jydh4xhe
Casa No Campo,Elis Regina,Fascinação - O Melhor De Elis Regina,Tziadifn5mcbh3dkz7l2bkiyswi
Samba de uma nota só,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Togyyxkx47bcho5b3ea7muspl2u
Simples Desejo,Luciana Mello,Assim Que Se Faz,Tqil25qkkfwvvn36elvmz4mpi5e
Lamento no morro (Bonus track),Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tewak2ba6dkx6nl5grbhmghakbi
É Com Esse Que Eu Vou,Elis Regina,Elis Regina Sem Limite,T3pwbzj6evp6ymuhoy3ebg3sjm4
Falso Milagre Do Amor,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tnnbmcvbwqrejvvokph7qyfhwki
Outono No Rio,Ed Motta,As Segundas Intenções Do Manual,Tkmblaq2pii34cieljom2putmha
Resposta Ao Tempo (The Voice Brasil),Amanda Amado,The Voice Brasil - Batalhas,To6nqxc5p5fdsn4qznhpyglgdzy
