Smells Like Teen Spirit,Nirvana,The Best Broadcast Sessions (Hd Remastered Edition),Tso7b4zxbkgfrwypcv36snyammi
London Calling (Remastered),The Clash,London Calling,Tatlfm62wv7ek3g7ivaudd7mo3m
(The Angels Wanna Wear My) Red Shoes,Elvis Costello ,The Best Of Elvis Costello: The First 10 Years,Ttkoljbnm4y6tgnz7qekbvbgvwm
Lost In Hollywood,System Of A Down,Mezmerize,Trbxzmvzwvusqbigiqjbrjr4bni
The National Anthem,Radiohead,Kid A,Tqnncjsdctxb5lcqmjllupfqk6y
Lost Horizons,Gin Blossoms,New Miserable Experience,T3qut7rr6tpxzb6wjeaez67pcai
So Young,Suede,Suede (Remastered),Theydhckmwb6vj4cycuqx653omm
Sunday Morning,The Velvet Underground & Nico,The Velvet Underground & Nico 45th Anniversary,Tcvw3bwjhblbc3jrr65lhfp7nb4
Changes (2015 Remaster),David Bowie,Hunky Dory (2015 Remastered Version),Tp6dzcajqvhglox5x7f77jfcuiq
Lado B lado A,O Rappa,Lado B Lado A,Ttxrpr7uczfhp3cxgseswogst6m
Até Quando Esperar,Plebe Rude,Historia da Odeon - Vol II,Ti7dhc7ajapn6mz3k43otudrhka
Vento No Litoral,Legião Urbana,Mais Do Mesmo,T5wbt446uw7p5vxvjden64enhdy
Psicopata,Capital Inicial,Elétrico,Tpiyyhya5a6hwnvc5ydewf6shjm
Longo Caminho,Os Paralamas Do Sucesso,Longo Caminho,Tmzz4ttfzys5cjukjit5sxbzgoa
O Vencedor,Los Hermanos,Copa das Confederações Brasil (Nacional),T7sqm34u63ptkdackcpr4l6flsa
A Dália Negra,RPM,RPM,Tkmum2kqmxhtzg4w4buj4tm744u
O Segundo Sol,Cássia Eller,O Mundo Completo De Cássia Eller,Thjwifh75yyypbbuyb2533m7ocq
Por Aí,Barão Vermelho,Barão Vermelho,Tzsynkcrosvzjk4rtl2apfai5e4
Quem São Os Animais?,Titãs,Nheengatu,T4neqogb23omtrlb76gpnbye5q4
Samba de uma Nota Só,Sylvia Telles,Brazil Carnaval,Tyoqonqk3cngucs6dsj7yh5dcge
Manhã DE Carnaval,Luiz Bonfá,Sambolero,Tdozut6omtcgh7q5pm6v3nhpxry
É Doce Morrer No Mar,Dorival Caymmi,O Que É Que o Baiano Tem,Ttylx5h43ggqw2d727e2owlzwqe
Apesar De Você,Chico Buarque,O Sambista,Tbehrdsjanxuqx2f3kwq2gkjxlu
Embarcação,Francis Hime,Pau Brasil,T2dimwkuwmasdwvta3n243qsv6a
A Felicidade (Ao Vivo),Maria Bethânia,"Tempo, Tempo, Tempo, Tempo (Ao Vivo)",Thohd4ngvsgkwtc7wqell7cjb5e
Sinal Fechado,Paulinho Da Viola,Coração Leviano (Digital),Tuoztkzlczetmxsldrcfu5hhuua
Nuvem Cigana,Milton Nascimento,Clube da Esquina 1,Tkuihtwanzivyrl44e27fjiiu5q
Contagem,Tom Drummond,Andarilho,Tacf7sdsx3iec4p33k4eo4b2cta
Love in Vain (Take 1),Robert Johnson,Songs for Love,Tej2yfbzbkaeulyslqhfr57zjse
Waltz for Debby,Bill Evans,Bill Evans: The Ultimate Best of Bill's Collection,Tlvc24brof44hou6kezoz2rlrau
My Funny Valentine,Paul Desmond,Cool Imagination,Tqmnxp2f6sb65y5oi6s4h352j7a
Truth Is Marching In,Albert Ayler,In Concert...,Tymqw6vuwmfz4r5upz5uivgwrg4
Rio Part II,Keith Jarrett,Rio,Ticyjmf7g5kklvgbztjotkuvcha
Sotho Blue (Original Mix),Abdullah Ibrahim,Sotho Blue,Tlgbmnzaz3yfl3hw6p77aiqhr54
Clair de Lune,Kamasi Washington,The Epic,Tujrjjlmtmgf3dogk2sujjti76q
Purple Haze,Jaco Pastorius,Blackbird (HD Remastered),T5sifnvduc7vbods4xpxlafz4by
"Body And Soul (Previously Unissued, Live Recording)",Dexter Gordon,Homecoming: Live At The Village Vanguard,Tsple6zbxroitpae63nrvmuzicy
Night Train (Live At The Apollo Theater/1962),James Brown & The Famous Flames,"James Brown Live At The Apollo, 1962",Tpvfzgb3y2tz46foc734hqxlbey
"Brahms: Intermezzi, Op.117 - 2. Intermezzo in B Flat Minor",Nelson Freire,Nelson Freire: Brahms,T32vcwhuctqsppdwvni3vsnbipm
"Barcarolle, Op. 60 in F-Sharp Major",Frédéric Chopin,"Barcarolle, Op. 60",Tfqptg5q7jj5ppsjfmlwohwkxcq
"Fauré: Ballade In F Sharp, Op.19",Yuja Wang,Ravel,Tjesfgfjnam5vcuwbz23iipmi7q
"Piano Sonata No. 5, Op. 53 (Live)",Sviatoslav Richter,"Sviatoslav Richter Archives, Vol. 10: Carnegie Hall 1960 (Live)",Tqskrfxtkz6wnu3hwep4kobdqv4
"Fantasiestücke, Op. 12: No. 3. Warum?",Jenő Jandó,Classic Masterworks - Robert Schumann,Tgpmrt7m3wqrhtcwm3ssqhvzarq
Flow My Tears,Mary Cassidy,It's the Little Things,Trlss5lmzguxnssljsw7l4rmoru
"Puccini: Tosca - ""E lucevan le stelle""",Plácido Domingo,The Essential Plácido Domingo,Tjvbgwaj2m7o2wgbkjsqzox2oma
"Schumann: Kinderszenen, Op.15 - Träumerei",Julian Lloyd Webber,101 Cello,Twbivx52zpaxcrf5q72sic6odxq
Love Will Tear Us Apart (The 1980 Martin Hannett Tapes),Joy Division,Soundtrack To The '80s (Re-Recorded / Remastered Versions),T4xsjq6prrl4uwqjzecdrjijotm
