Estrela Sorridente,Luciana Mello,Na Luz do Samba,Tphzvcdikuzl5z2dci7eg4tsiaa
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
Quando Você Deixar,Casuarina,7,Tetifnevzbfcyuu7uqfsanut5pu
Empada Molotov,Premeditando o Breque,Empada Molotov / Frevura,T3jfbbqhachjd6cuv5jtgps3vji
Alô Fevereiro,Roberta Sá,Que Belo Estranho Dia Pra Se Ter Alegria,Twcdonvsiefwatyowxyxnml6tda
Interessa (feat. Zé da Velha & Silvério Pontes),Roberta Sá,Que Belo Estranho Dia Pra Se Ter Alegria,Tfy3r5ov7lxexxbhsraxz2wd55a
Barracão,Nilze Carvalho,O que é Meu,Tiizjbzmtapfdxud6feweem6zhy
Moro na Roça (feat. Xandy de Pilares),Arlindo Cruz,Na Veia,Tb32qjfsmugpt72xbmi2bt5nsdm
Sambista Perfeito,Arlindo Cruz,Sambista Perfeito,Tgywp3at3amrts5ukdtmccwuq5a
Meu Lugar,Arlindo Cruz,Sambista Perfeito,Tpndcypmxu4lslfjp6u5kf5yqr4
Quantos Beijos / Orvalho Vem Caindo (feat. Fundo de Quintal),Ivan Lins,"Tributo A Noel Rosa, Vol. 2",Ti7hnrpiahfe4jdbsbwedunqrx4
Pranto de Poeta,Casuarina,Casuarina,Tiqlwpb3li77tqjuhdz7mptue44
Já Fui uma Brasa,Casuarina,Casuarina,Tsmc7ys6je6z3xnfy6qkfxrbspe
Laranja Madura,Casuarina,Casuarina,T4eeu2mapo2o3bxxtcr6sbzbdde
Falso Moralista,Casuarina,Casuarina,Tgac6swifjby7gs7zhoqcftwov4
Certidão,Casuarina,Certidão,Tnpz537bmpunyemm73xzjn53woy
Disritmia,Casuarina,Roda de Samba do Casuarina e Convidados,Tn6w7ycge6pjor2waw3qvyjuv6a
Cabelos Brancos (feat. Moska),Casuarina,Roda de Samba do Casuarina e Convidados,Tff63sazks5dnvxltn54hc4pqli
Samba Novo,Wilson Simoninha,Melhor,Tt2wcmituf4dujxb7sxjdrxlaau
Bossa Negra,Diogo Nogueira,Bossa Negra,Ttnmmzr2ddnwqellvej6mvepjjq
Desde Que O Samba É Samba,Diogo Nogueira,Bossa Negra,Te7kvkycg5urolvcbtgfeqej2sy
O Que É O Amor,Diogo Nogueira,Bossa Negra,T32ttm5ljt2bosihtkywz6r5soe
Risque,Diogo Nogueira,Bossa Negra,Ts5iacbu7wt7ssyhwuik767sw7m
